datetime,volume_variation_m3s,error
24/06/1984,0.85742,1.1181
01/12/1984,1.09789,2.31902
01/05/1985,0,3.11157
20/10/1986,3.22234,0.57161
15/01/1987,2.06695,4.04731
31/01/1987,1.85629,3.93946
14/10/1987,1.4062,3.95843
31/10/1987,0.71419,1.38641
24/11/1990,4.66856,0.41175
17/12/1990,4.21311,2.31167
29/11/1998,4.18966,2.05854
01/02/1999,3.87277,2.45656
01/11/1999,4.72362,0.65343
17/11/1999,5.12541,0.63689
05/02/2000,4.38486,1.54161
31/03/2000,3.85977,2.54869
12/06/2000,3.44392,1.11468
19/11/2000,4.00697,2.324
12/12/2000,3.97231,2.37482
21/12/2000,4.03532,0.50626
07/02/2001,3.95401,1.96679
30/05/2001,2.60087,0.86413
18/08/2001,3.22882,1.2233
21/10/2001,4.18535,0.6056
28/10/2001,4.74948,2.00958
31/12/2001,3.99596,2.49636
17/02/2002,3.74042,2.65829
30/03/2002,3.6259,0.73162
06/04/2002,3.2968,3.15604
24/07/2002,2.09989,0.01131
28/08/2002,2.63735,0.03613
22/09/2002,4.00293,1.25636
02/10/2002,4.3641,0.04643
31/10/2002,4.90919,2.20279
06/11/2002,4.52146,0.00346
25/11/2002,3.86555,0.63024
11/12/2002,4.19059,0.01108
12/01/2003,3.77082,0.65258
15/01/2003,3.74311,0.01713
19/01/2003,3.78188,2.54784
19/02/2003,3.06502,0.06269
30/04/2003,1.94298,0.00625
04/05/2003,3.04312,0.61004
11/05/2003,2.48927,3.96529
04/06/2003,1.97073,0.00103
09/07/2003,2.21768,0.00313
08/08/2003,3.157,2.34196
13/08/2003,2.79862,0.00734
17/09/2003,3.93888,0.01317
22/10/2003,4.63751,0.01473
26/11/2003,4.53995,0.01708
28/11/2003,3.77029,1.80819
30/12/2003,3.67695,2.45682
31/12/2003,4.06737,0.02949
15/01/2004,3.59899,2.42366
04/02/2004,3.61862,0.00468
10/03/2004,3.20742,0.00128
19/03/2004,3.45993,1.84012
14/04/2004,2.83079,0.07384
19/05/2004,2.48994,0.0026
23/06/2004,2.08396,0.01649
28/07/2004,2.2386,0.02255
01/09/2004,2.37636,0.0298
11/09/2004,3.42027,2.14799
06/10/2004,3.95374,0.01848
10/11/2004,3.96554,0.01749
14/11/2004,3.63542,1.8215
30/11/2004,3.6658,1.90057
15/12/2004,3.58347,0.00417
16/12/2004,3.49337,2.03464
19/01/2005,3.10984,0.06065
23/02/2005,2.6955,0.001
30/03/2005,2.15009,0.02581
04/05/2005,2.08194,0.04263
08/06/2005,1.25041,0.01247
13/07/2005,1.12119,0.02447
17/08/2005,1.4821,0.00645
21/09/2005,3.71712,0.00557
26/10/2005,4.45573,0.08086
01/11/2005,3.46736,2.7159
17/11/2005,3.35668,2.03341
30/11/2005,4.59193,0.00348
03/12/2005,3.25542,2.12083
04/01/2006,4.14005,0.00142
08/02/2006,3.72046,0.00161
15/03/2006,3.29003,0.00118
19/04/2006,2.75625,0.03466
24/05/2006,2.4474,0.00452
28/06/2006,2.178,0.02156
02/08/2006,2.29372,0.02123
06/09/2006,3.7181,0.01511
11/10/2006,4.24641,0.00733
15/11/2006,4.61637,0.01125
20/11/2006,4.54351,1.71681
06/12/2006,4.27923,1.55784
20/12/2006,4.19484,0.00509
22/12/2006,4.17095,1.52589
23/01/2007,3.96975,1.72916
24/01/2007,3.82448,0.01716
