datetime,water_level_m,error
24/07/2002 20:58,211.813,0.011
25/07/2002 20:58,211.813,0.011
26/07/2002 20:58,211.813,0.011
27/07/2002 20:58,211.813,0.011
28/07/2002 20:58,211.813,0.011
29/07/2002 20:58,211.813,0.011
30/07/2002 20:58,211.813,0.011
31/07/2002 20:58,211.813,0.011
01/08/2002 20:58,211.813,0.011
02/08/2002 20:58,211.813,0.011
03/08/2002 20:58,211.813,0.011
04/08/2002 20:58,211.813,0.011
05/08/2002 20:58,211.813,0.011
06/08/2002 20:58,211.813,0.011
07/08/2002 20:58,211.813,0.011
08/08/2002 20:58,211.813,0.011
09/08/2002 20:58,211.813,0.011
10/08/2002 20:58,211.813,0.011
11/08/2002 20:58,211.813,0.011
12/08/2002 20:58,211.813,0.011
13/08/2002 20:58,211.813,0.011
14/08/2002 20:58,211.813,0.011
15/08/2002 20:58,211.813,0.011
16/08/2002 20:58,211.813,0.011
17/08/2002 20:58,211.813,0.011
18/08/2002 20:58,211.813,0.011
19/08/2002 20:58,211.813,0.011
20/08/2002 20:58,211.813,0.011
21/08/2002 20:58,211.813,0.011
22/08/2002 20:58,211.813,0.011
23/08/2002 20:58,211.813,0.011
24/08/2002 20:58,211.813,0.011
25/08/2002 20:58,211.813,0.011
26/08/2002 20:58,211.813,0.011
27/08/2002 20:58,211.813,0.011
28/08/2002 20:58,212.809,0.032
29/08/2002 20:58,212.809,0.032
30/08/2002 20:58,212.809,0.032
31/08/2002 20:58,212.809,0.032
01/09/2002 20:58,212.809,0.032
02/09/2002 20:58,212.809,0.032
03/09/2002 20:58,212.809,0.032
04/09/2002 20:58,212.809,0.032
05/09/2002 20:58,212.809,0.032
06/09/2002 20:58,212.809,0.032
07/09/2002 20:58,212.809,0.032
08/09/2002 20:58,212.809,0.032
09/09/2002 20:58,212.809,0.032
10/09/2002 20:58,212.809,0.032
11/09/2002 20:58,212.809,0.032
12/09/2002 20:58,212.809,0.032
13/09/2002 20:58,212.809,0.032
14/09/2002 20:58,212.809,0.032
15/09/2002 20:58,212.809,0.032
16/09/2002 20:58,212.809,0.032
17/09/2002 20:58,212.809,0.032
18/09/2002 20:58,212.809,0.032
19/09/2002 20:58,212.809,0.032
20/09/2002 20:58,212.809,0.032
21/09/2002 20:58,212.809,0.032
22/09/2002 20:58,212.809,0.032
23/09/2002 20:58,212.809,0.032
24/09/2002 20:58,212.809,0.032
25/09/2002 20:58,212.809,0.032
26/09/2002 20:58,212.809,0.032
27/09/2002 20:58,212.809,0.032
28/09/2002 20:58,212.809,0.032
29/09/2002 20:58,212.809,0.032
30/09/2002 20:58,212.809,0.032
01/10/2002 20:58,212.809,0.032
02/10/2002 20:58,215.677,0.035
03/10/2002 20:58,215.677,0.035
04/10/2002 20:58,215.677,0.035
05/10/2002 20:58,215.677,0.035
