datetime,dam_discharge_(m_/s)
01/01/1982,1976.74
02/01/1982,1650.34
03/01/1982,1354.01
04/01/1982,1496.94
05/01/1982,1519.02
06/01/1982,1281.48
07/01/1982,1226.22
08/01/1982,1710.42
09/01/1982,1753.58
10/01/1982,1681.13
11/01/1982,1954.6
12/01/1982,1337.47
13/01/1982,2002.28
14/01/1982,1229.72
15/01/1982,1196.19
16/01/1982,972.01
17/01/1982,1366.26
18/01/1982,1348.88
19/01/1982,1657.78
20/01/1982,1573.17
21/01/1982,1142.11
22/01/1982,1382.18
23/01/1982,1388.56
24/01/1982,967.21
25/01/1982,1205.72
26/01/1982,1268.76
27/01/1982,1930.09
28/01/1982,1557.44
29/01/1982,1698.65
30/01/1982,1050.41
31/01/1982,1858.26
01/02/1982,1890.33
02/02/1982,900.5
03/02/1982,1288.4
04/02/1982,1648.73
05/02/1982,1693.32
06/02/1982,1296.45
07/02/1982,1408.35
08/02/1982,1320.79
09/02/1982,1533.13
10/02/1982,1859.15
11/02/1982,1268.69
12/02/1982,1800.25
13/02/1982,1265.5
14/02/1982,1245.71
15/02/1982,1745.58
16/02/1982,1776.58
17/02/1982,1755.42
18/02/1982,1105.26
19/02/1982,1360.21
20/02/1982,1746.9
21/02/1982,1512.46
22/02/1982,1177.89
23/02/1982,1637.5
24/02/1982,1285.56
25/02/1982,2038.36
26/02/1982,1963.45
27/02/1982,1681.23
28/02/1982,1908.3
01/03/1982,1519.44
02/03/1982,1729.63
03/03/1982,1943.32
04/03/1982,1573.65
05/03/1982,1423.44
06/03/1982,988.61
07/03/1982,1475.06
08/03/1982,1747.03
09/03/1982,1783.69
10/03/1982,1651.31
11/03/1982,1337.61
12/03/1982,906.95
13/03/1982,1351.44
14/03/1982,1408.7
15/03/1982,1406.12
16/03/1982,1685.57
17/03/1982,2095.7
18/03/1982,1537.06
19/03/1982,1434.98
20/03/1982,1422.23
21/03/1982,1537.32
22/03/1982,1251.51
23/03/1982,1536.06
24/03/1982,1635.24
25/03/1982,1562.91
26/03/1982,1637.26
27/03/1982,1630.12
28/03/1982,968.43
29/03/1982,1691.06
30/03/1982,1298.7
31/03/1982,1171.25
01/04/1982,1168.66
02/04/1982,1630.06
03/04/1982,1433.23
04/04/1982,995.41
05/04/1982,1643.41
06/04/1982,1068.12
07/04/1982,1541.95
08/04/1982,1571.55
09/04/1982,1765.67
10/04/1982,2034.51
11/04/1982,1090.6
12/04/1982,1484.26
13/04/1982,1417.1
14/04/1982,1630.12
15/04/1982,1564.7
16/04/1982,1394.24
17/04/1982,1367.73
18/04/1982,1165.06
19/04/1982,1796.36
20/04/1982,1637.76
21/04/1982,1775.33
22/04/1982,1406.88
23/04/1982,1302.95
24/04/1982,1176.51
25/04/1982,1607.68
26/04/1982,1188.06
27/04/1982,2054.6
28/04/1982,1107.71
29/04/1982,1582.1
30/04/1982,1970.06
01/05/1982,3299.54
02/05/1982,3087.84
03/05/1982,2515.76
04/05/1982,2309.12
05/05/1982,3385.03
06/05/1982,3753.07
07/05/1982,2780.58
08/05/1982,2430.47
09/05/1982,1770.92
10/05/1982,2509.62
11/05/1982,2943.17
12/05/1982,3799.56
13/05/1982,3336.57
14/05/1982,3152.54
15/05/1982,2799.94
16/05/1982,2708.42
17/05/1982,3702.82
18/05/1982,3100.37
19/05/1982,1948.7
20/05/1982,2663.23
21/05/1982,2570.89
22/05/1982,2726.87
23/05/1982,3281.46
24/05/1982,2946.28
25/05/1982,2961.57
26/05/1982,3656.74
27/05/1982,2651.77
28/05/1982,3932.1
29/05/1982,2664.35
30/05/1982,3044.6
31/05/1982,2859.4
01/06/1982,3061.71
02/06/1982,3222.3
03/06/1982,3216.92
04/06/1982,2623.44
05/06/1982,2438.54
06/06/1982,4251.59
07/06/1982,2758.01
08/06/1982,3349.61
09/06/1982,2196.18
10/06/1982,2860.19
11/06/1982,2936.4
12/06/1982,3236.41
13/06/1982,1638.77
14/06/1982,3083.07
15/06/1982,2425.13
16/06/1982,3162.17
17/06/1982,2481.84
18/06/1982,2572.26
19/06/1982,2863.19
20/06/1982,2473.84
21/06/1982,2762.23
22/06/1982,2403.31
23/06/1982,2083.41
24/06/1982,3508.98
25/06/1982,2351.98
26/06/1982,2910.66
27/06/1982,3376.45
28/06/1982,2692.53
29/06/1982,2587.42
30/06/1982,3113.12
01/07/1982,3558.97
02/07/1982,2415.34
03/07/1982,2924.93
04/07/1982,2133.75
05/07/1982,2803.4
06/07/1982,3017.1
07/07/1982,2572.69
08/07/1982,2771.5
09/07/1982,2295.89
10/07/1982,3038.54
11/07/1982,3527.85
12/07/1982,2451.43
13/07/1982,2688.66
14/07/1982,3251.27
15/07/1982,3606.05
16/07/1982,2253.41
17/07/1982,2915.61
18/07/1982,3141.57
19/07/1982,2948.97
20/07/1982,1761.6
21/07/1982,3250.55
22/07/1982,3759.67
23/07/1982,3058.33
24/07/1982,2484.45
25/07/1982,2743.44
26/07/1982,3884.96
27/07/1982,3454.98
28/07/1982,3320.01
29/07/1982,3178.21
30/07/1982,2669.43
31/07/1982,2899.71
01/08/1982,2961.04
02/08/1982,3274.79
03/08/1982,3754.46
04/08/1982,3559.17
05/08/1982,2290.31
06/08/1982,3112
07/08/1982,3368.38
08/08/1982,3309.43
09/08/1982,2685.38
10/08/1982,4457.05
11/08/1982,2361.46
12/08/1982,2458.41
13/08/1982,3116.8
14/08/1982,4058.4
15/08/1982,2581.9
16/08/1982,2867.09
17/08/1982,3538.65
18/08/1982,2991.07
19/08/1982,2832.7
20/08/1982,3282.82
21/08/1982,3136.26
22/08/1982,3515.22
23/08/1982,3645.73
24/08/1982,3153.5
25/08/1982,3145.87
26/08/1982,3107.06
27/08/1982,3244.57
28/08/1982,3027.59
29/08/1982,2999.7
30/08/1982,3598.31
31/08/1982,3758.06
01/09/1982,3529
02/09/1982,3529
03/09/1982,3529
04/09/1982,3529
05/09/1982,3529
06/09/1982,3529
07/09/1982,3529
08/09/1982,3529
09/09/1982,3529
10/09/1982,3529
11/09/1982,3529
12/09/1982,3529
13/09/1982,3529
14/09/1982,3529
15/09/1982,3529
16/09/1982,3529
17/09/1982,3529
18/09/1982,3529
19/09/1982,3529
20/09/1982,3529
21/09/1982,3529
22/09/1982,3529
23/09/1982,3529
24/09/1982,3529
25/09/1982,3529
26/09/1982,3529
27/09/1982,3529
28/09/1982,3529
29/09/1982,3529
30/09/1982,3529
01/10/1982,2246.22
02/10/1982,3005.01
03/10/1982,2655.65
04/10/1982,2844.51
05/10/1982,3201.26
06/10/1982,3334.72
07/10/1982,2943.94
08/10/1982,2043.33
09/10/1982,2517.48
10/10/1982,3448.25
11/10/1982,1629.79
12/10/1982,3593.71
13/10/1982,3260.61
14/10/1982,3658.09
15/10/1982,2900.72
16/10/1982,1969.3
17/10/1982,3215.18
18/10/1982,3637.33
19/10/1982,3462.36
20/10/1982,2668.65
21/10/1982,3043.38
22/10/1982,2733.58
23/10/1982,2590.37
24/10/1982,3477.69
25/10/1982,2401.23
26/10/1982,2553.09
27/10/1982,2447.99
28/10/1982,2254.88
29/10/1982,3073.21
30/10/1982,3580.75
31/10/1982,2907.56
01/11/1982,1048.28
02/11/1982,1751.98
03/11/1982,2005.71
04/11/1982,1306.13
05/11/1982,1356.43
06/11/1982,1654.7
07/11/1982,1986.56
08/11/1982,1344.05
09/11/1982,1100.27
10/11/1982,1689.43
11/11/1982,1739.72
12/11/1982,1501.84
13/11/1982,1332.56
14/11/1982,1798.31
15/11/1982,1658.41
16/11/1982,1269.47
17/11/1982,1514.73
18/11/1982,1094.49
19/11/1982,1705.77
20/11/1982,1421.33
21/11/1982,1369.29
22/11/1982,1490.14
23/11/1982,1512.09
24/11/1982,1768.48
25/11/1982,1677.33
26/11/1982,1453.08
27/11/1982,1729.1
28/11/1982,1620.22
29/11/1982,1372.02
30/11/1982,1462.58
01/12/1982,1455.53
02/12/1982,1651.58
03/12/1982,1389.89
04/12/1982,1382.88
05/12/1982,2090.63
06/12/1982,1781.92
07/12/1982,1271.82
08/12/1982,1671.28
09/12/1982,1535.51
10/12/1982,1617.47
11/12/1982,1541.2
12/12/1982,1856.89
13/12/1982,1603.69
14/12/1982,1481.37
15/12/1982,1812.66
16/12/1982,1569.99
17/12/1982,1536.44
18/12/1982,1594.21
19/12/1982,1471.92
20/12/1982,1502.77
21/12/1982,1323.99
22/12/1982,1274.65
23/12/1982,1200.43
24/12/1982,1082.41
25/12/1982,1236.08
26/12/1982,1447.72
27/12/1982,1530.94
28/12/1982,1418.61
29/12/1982,793.29
30/12/1982,1972.38
31/12/1982,1825.94
01/01/1983,1633.73
02/01/1983,2072.25
03/01/1983,1206.79
04/01/1983,2066.29
05/01/1983,1210.44
06/01/1983,1571.62
07/01/1983,1117.85
08/01/1983,1504.41
09/01/1983,1615.85
10/01/1983,1453.59
11/01/1983,1714.16
12/01/1983,1529.7
13/01/1983,1343.28
14/01/1983,1329.96
15/01/1983,1743.27
16/01/1983,1303.88
17/01/1983,1774.62
18/01/1983,1866.81
19/01/1983,999.39
20/01/1983,1839.88
21/01/1983,2118.13
22/01/1983,1575.6
23/01/1983,1679.73
24/01/1983,1811.1
25/01/1983,1417.36
26/01/1983,1554.68
27/01/1983,1105.74
28/01/1983,1541.59
29/01/1983,1649.43
30/01/1983,1654.85
31/01/1983,1819.63
01/02/1983,1267.56
02/02/1983,1340.22
03/02/1983,2068.65
04/02/1983,1454.9
05/02/1983,1560.01
06/02/1983,1479.9
07/02/1983,1253.5
08/02/1983,1987.06
09/02/1983,1341.69
10/02/1983,1161.81
11/02/1983,1364.78
12/02/1983,899.49
13/02/1983,1304.61
14/02/1983,1209.56
15/02/1983,1685.23
16/02/1983,1297.98
17/02/1983,1766.34
18/02/1983,1919.55
19/02/1983,1734.35
20/02/1983,1435.38
21/02/1983,1542.33
22/02/1983,1042.5
23/02/1983,1459.87
24/02/1983,1241.87
25/02/1983,1708.3
26/02/1983,2271.83
27/02/1983,1649.95
28/02/1983,902.66
01/03/1983,1391.63
02/03/1983,1536.75
03/03/1983,1526.21
04/03/1983,1280.76
05/03/1983,1573.59
06/03/1983,1127.25
07/03/1983,1216.53
08/03/1983,1693.74
09/03/1983,1195.3
10/03/1983,1661.46
11/03/1983,1089.16
12/03/1983,2029.45
13/03/1983,1267.72
14/03/1983,1432.9
15/03/1983,1599.18
16/03/1983,1330.4
17/03/1983,1543.02
18/03/1983,1672.61
19/03/1983,1788.18
20/03/1983,1737.45
21/03/1983,1448.46
22/03/1983,1456.01
23/03/1983,2204.73
24/03/1983,1784.97
25/03/1983,1223.45
26/03/1983,1530
27/03/1983,1399.46
28/03/1983,1459.4
29/03/1983,1131.15
30/03/1983,1376.42
31/03/1983,2043.47
01/04/1983,1673.72
02/04/1983,752.65
03/04/1983,1865.02
04/04/1983,1826.89
05/04/1983,1392.21
06/04/1983,1715.18
07/04/1983,1242.18
08/04/1983,1358.92
09/04/1983,1949.56
10/04/1983,1418.48
11/04/1983,939.08
12/04/1983,1481.01
13/04/1983,1476.42
14/04/1983,1859.51
15/04/1983,1504.3
16/04/1983,1373.53
17/04/1983,1813.52
18/04/1983,1536.24
19/04/1983,1274.99
20/04/1983,1846.5
21/04/1983,1558.1
22/04/1983,1500.88
23/04/1983,1553.37
24/04/1983,1178.8
25/04/1983,1341.7
26/04/1983,1501.07
27/04/1983,1441.6
28/04/1983,1881.73
29/04/1983,1565.22
30/04/1983,1756.47
01/05/1983,3004.7
02/05/1983,3528.14
03/05/1983,3198.76
04/05/1983,3006.71
05/05/1983,2993.36
06/05/1983,2522.78
07/05/1983,3253.46
08/05/1983,2979.9
09/05/1983,2749
10/05/1983,3553.23
11/05/1983,2374.89
12/05/1983,2788.75
13/05/1983,3513.86
14/05/1983,3157.76
15/05/1983,2976.07
16/05/1983,3125.5
17/05/1983,3089.71
18/05/1983,2241.67
19/05/1983,2825.37
20/05/1983,3808.26
21/05/1983,2670.34
22/05/1983,2840.85
23/05/1983,2729.19
24/05/1983,2956.49
25/05/1983,2708.44
26/05/1983,3243.37
27/05/1983,3098.66
28/05/1983,3386.77
29/05/1983,2474.53
30/05/1983,2829.83
31/05/1983,2887.14
01/06/1983,3227.82
02/06/1983,2603.39
03/06/1983,3457.83
04/06/1983,3593.21
05/06/1983,2505.56
06/06/1983,2754.56
07/06/1983,2734.03
08/06/1983,4316.19
09/06/1983,2785.05
10/06/1983,3838.81
11/06/1983,2366.68
12/06/1983,2505.17
13/06/1983,2656.7
14/06/1983,2577.16
15/06/1983,2866.05
16/06/1983,2645.61
17/06/1983,2590.33
18/06/1983,3579.24
19/06/1983,3611.9
20/06/1983,3474.65
21/06/1983,3262
22/06/1983,3046.37
23/06/1983,2751.48
24/06/1983,2523.42
25/06/1983,3181.5
26/06/1983,2413.18
27/06/1983,2503.04
28/06/1983,3576.46
29/06/1983,3950.32
30/06/1983,3196.65
01/07/1983,3553.23
02/07/1983,2877.08
03/07/1983,2331.16
04/07/1983,3306.09
05/07/1983,3284.64
06/07/1983,3035.83
07/07/1983,2878.81
08/07/1983,3481.11
09/07/1983,2507.13
10/07/1983,2613.11
11/07/1983,2495.95
12/07/1983,3042.49
13/07/1983,2456.05
14/07/1983,2657.88
15/07/1983,2647.12
16/07/1983,2869.7
17/07/1983,2256.31
18/07/1983,3043.6
19/07/1983,3623.65
20/07/1983,3067.75
21/07/1983,3770.66
22/07/1983,3667
23/07/1983,3388.87
24/07/1983,3037.34
25/07/1983,3011.25
26/07/1983,3381.9
27/07/1983,2804.16
28/07/1983,2058.74
29/07/1983,3246
30/07/1983,2434.47
31/07/1983,2518.93
01/08/1983,4398
02/08/1983,4398
03/08/1983,4398
04/08/1983,4398
05/08/1983,4398
06/08/1983,4398
07/08/1983,4398
08/08/1983,4398
09/08/1983,4398
10/08/1983,4398
11/08/1983,4398
12/08/1983,4398
13/08/1983,4398
14/08/1983,4398
15/08/1983,4398
16/08/1983,4398
17/08/1983,4398
18/08/1983,4398
19/08/1983,4398
20/08/1983,4398
21/08/1983,4398
22/08/1983,4398
23/08/1983,4398
24/08/1983,4398
25/08/1983,4398
26/08/1983,4398
27/08/1983,4398
28/08/1983,4398
29/08/1983,4398
30/08/1983,4398
31/08/1983,4398
01/09/1983,3000.11
02/09/1983,2952.44
03/09/1983,2293.96
04/09/1983,3082.75
05/09/1983,3483.07
06/09/1983,2435.83
07/09/1983,3636.24
08/09/1983,2219.91
09/09/1983,4058.66
10/09/1983,2794.37
11/09/1983,3072.81
12/09/1983,2053.98
13/09/1983,2968.93
14/09/1983,3114.24
15/09/1983,2956.92
16/09/1983,2718.46
17/09/1983,2526.72
18/09/1983,3565.26
19/09/1983,3015.4
20/09/1983,3770.38
21/09/1983,2736.76
22/09/1983,2782.6
23/09/1983,3407.8
24/09/1983,2188.51
25/09/1983,2393.27
26/09/1983,3548.74
27/09/1983,2414.03
28/09/1983,2090.47
29/09/1983,3934.26
30/09/1983,2303.09
01/10/1983,3092.06
02/10/1983,3034.54
03/10/1983,1594.69
04/10/1983,2866.34
05/10/1983,3224.21
06/10/1983,3177.15
07/10/1983,3451.76
08/10/1983,2806.25
09/10/1983,3356.25
10/10/1983,2655.34
11/10/1983,2294.77
12/10/1983,2351.14
13/10/1983,2268.94
14/10/1983,3504.79
15/10/1983,2242.71
16/10/1983,3137.02
17/10/1983,2867.04
18/10/1983,2948.68
19/10/1983,3681.8
20/10/1983,2780.79
21/10/1983,3305.8
22/10/1983,3018.78
23/10/1983,2923.99
24/10/1983,4149.98
25/10/1983,2279.33
26/10/1983,3644.57
27/10/1983,3328.2
28/10/1983,2760.24
29/10/1983,3814.66
30/10/1983,2075.94
31/10/1983,2739.12
01/11/1983,1137.46
02/11/1983,1623.63
