datetime,flood_severity,affected_regions
01/01/1982,No flood,
02/01/1982,No flood,
03/01/1982,No flood,
04/01/1982,No flood,
05/01/1982,No flood,
06/01/1982,No flood,
07/01/1982,No flood,
08/01/1982,No flood,
09/01/1982,No flood,
10/01/1982,No flood,
11/01/1982,No flood,
12/01/1982,No flood,
13/01/1982,No flood,
14/01/1982,No flood,
15/01/1982,No flood,
16/01/1982,No flood,
17/01/1982,No flood,
18/01/1982,No flood,
19/01/1982,No flood,
20/01/1982,No flood,
21/01/1982,No flood,
22/01/1982,No flood,
23/01/1982,No flood,
24/01/1982,No flood,
25/01/1982,No flood,
26/01/1982,No flood,
27/01/1982,No flood,
28/01/1982,No flood,
29/01/1982,No flood,
30/01/1982,No flood,
31/01/1982,No flood,
01/02/1982,No flood,
02/02/1982,No flood,
03/02/1982,No flood,
04/02/1982,No flood,
05/02/1982,No flood,
06/02/1982,No flood,
07/02/1982,No flood,
08/02/1982,No flood,
09/02/1982,No flood,
10/02/1982,No flood,
11/02/1982,No flood,
12/02/1982,No flood,
13/02/1982,No flood,
14/02/1982,No flood,
15/02/1982,No flood,
16/02/1982,No flood,
17/02/1982,No flood,
18/02/1982,No flood,
19/02/1982,No flood,
20/02/1982,No flood,
21/02/1982,No flood,
22/02/1982,No flood,
23/02/1982,No flood,
24/02/1982,No flood,
25/02/1982,No flood,
26/02/1982,No flood,
27/02/1982,No flood,
28/02/1982,No flood,
01/03/1982,No flood,
02/03/1982,No flood,
03/03/1982,No flood,
04/03/1982,No flood,
05/03/1982,No flood,
06/03/1982,No flood,
07/03/1982,No flood,
08/03/1982,No flood,
09/03/1982,No flood,
10/03/1982,No flood,
11/03/1982,No flood,
12/03/1982,No flood,
13/03/1982,No flood,
14/03/1982,No flood,
15/03/1982,No flood,
16/03/1982,No flood,
17/03/1982,No flood,
18/03/1982,No flood,
19/03/1982,No flood,
20/03/1982,No flood,
21/03/1982,No flood,
22/03/1982,No flood,
23/03/1982,No flood,
24/03/1982,No flood,
25/03/1982,No flood,
26/03/1982,No flood,
27/03/1982,No flood,
28/03/1982,No flood,
29/03/1982,No flood,
30/03/1982,No flood,
31/03/1982,No flood,
01/04/1982,No flood,
02/04/1982,No flood,
03/04/1982,No flood,
04/04/1982,No flood,
05/04/1982,No flood,
06/04/1982,No flood,
07/04/1982,No flood,
08/04/1982,No flood,
09/04/1982,No flood,
10/04/1982,No flood,
11/04/1982,No flood,
12/04/1982,No flood,
13/04/1982,No flood,
14/04/1982,No flood,
15/04/1982,No flood,
16/04/1982,No flood,
17/04/1982,No flood,
18/04/1982,No flood,
19/04/1982,No flood,
20/04/1982,No flood,
21/04/1982,No flood,
22/04/1982,No flood,
23/04/1982,No flood,
24/04/1982,No flood,
25/04/1982,No flood,
26/04/1982,No flood,
27/04/1982,No flood,
28/04/1982,No flood,
29/04/1982,No flood,
30/04/1982,No flood,
01/05/1982,No flood,
02/05/1982,No flood,
03/05/1982,No flood,
04/05/1982,No flood,
05/05/1982,No flood,
06/05/1982,No flood,
